CLASE_VIV,SEXO,EDAD,ENT_PAIS_NAC,DHSERSAL1,RELIGION,HLENGUA,HESPANOL,ASISTEN,NIVACAD,SITUA_CONYUGAL,HIJOS_NAC_VIVOS,ZIP_CODE
1,1,58,1,1,1,1,1,1,1,1,5,3696
2,2,6,2,1,1,1,1,2,2,2,24,5581
1,2,6,3,2,1,1,1,2,2,2,24,207
1,2,19,4,3,1,1,1,1,3,3,24,209
1,1,54,5,1,1,1,1,1,4,4,3,10501
1,2,29,6,1,2,1,1,1,5,3,24,2408
1,1,67,7,1,1,1,1,1,3,4,5,967
1,2,8,8,3,3,2,2,2,2,2,24,2239
1,2,58,1,1,1,1,1,1,6,5,24,10502
1,1,20,9,4,1,1,1,2,4,3,1,1258
1,2,38,10,1,1,1,1,1,4,3,24,10503
1,2,85,7,1,1,1,1,1,7,6,24,1089
1,2,37,4,2,1,1,1,1,8,6,24,580
1,2,94,11,1,1,1,1,1,9,7,24,10499
1,2,10,11,1,1,1,1,2,3,2,24,10498
3,1,78,12,5,1,1,1,1,3,4,4,276
1,2,4,13,1,3,1,1,1,9,2,24,2565
1,1,36,14,3,1,2,2,1,3,1,7,579
3,1,22,7,2,1,1,1,1,7,1,3,281
4,2,23,7,1,3,1,1,2,8,3,24,673
3,2,6,2,3,1,1,1,2,2,2,24,5804
1,2,26,12,1,1,1,1,1,7,1,24,26
1,2,28,15,1,1,1,1,1,7,3,24,2504
1,1,10,12,2,1,1,1,2,3,2,24,155
1,2,31,16,3,3,1,1,1,7,1,24,205
3,1,26,6,3,1,1,1,2,8,3,1,2788
1,1,29,2,2,1,1,1,1,8,3,1,3190
3,2,11,2,2,1,1,1,2,3,2,24,18517
5,1,8,4,2,1,1,1,2,3,2,24,419
1,1,28,8,2,1,1,1,1,7,7,5,1984
4,2,60,17,1,3,1,1,1,4,6,24,5803
1,2,13,16,2,1,1,1,2,3,3,24,117
1,2,51,8,6,1,1,1,1,3,6,24,1570
1,1,69,14,2,1,1,1,1,3,3,1,843
1,2,32,4,1,1,1,1,1,8,6,24,1175
1,1,35,2,2,1,1,1,1,8,6,3,2965
1,1,41,7,2,1,1,1,1,8,6,5,879
1,1,6,4,2,1,1,1,2,2,2,24,746
1,2,39,18,1,4,1,1,1,8,7,24,5582
3,2,1,19,3,1,3,1,3,10,2,24,187
1,1,48,20,3,1,1,1,1,7,7,4,1789
1,2,16,1,1,1,1,1,2,7,3,24,5890
1,1,66,21,1,2,1,1,1,3,4,6,2237
1,2,41,1,1,1,1,1,1,7,3,24,18206
1,2,33,8,7,1,1,1,1,8,1,24,1791
1,1,39,22,1,1,1,1,2,8,3,3,1092
4,2,22,8,2,1,1,1,1,3,3,24,1614
1,1,41,14,3,1,1,1,1,7,1,1,979
3,2,45,7,5,1,1,1,1,7,6,24,676
1,1,5,16,3,5,2,2,2,9,2,24,23
1,1,11,9,3,1,1,1,2,3,2,24,1096
1,1,14,15,1,1,1,1,2,7,3,1,1473
3,2,5,23,6,1,4,1,4,11,2,24,18113
1,1,87,14,3,1,1,1,1,9,4,9,1241
1,1,4,24,1,1,1,1,1,9,2,24,1472
1,1,9,14,3,1,2,2,2,3,2,24,951
1,1,74,4,3,1,1,1,1,9,4,10,1046
1,2,8,8,3,1,1,1,2,3,2,24,1693
1,2,18,16,1,6,1,1,2,8,3,24,397
1,1,54,14,2,1,1,1,1,1,6,4,579
1,2,17,2,1,1,1,1,2,7,3,24,5903
1,1,18,8,1,1,1,1,2,8,3,1,1469
1,1,54,25,3,1,1,1,1,3,7,4,16
1,1,46,14,3,1,1,1,1,7,7,3,637
1,2,16,14,1,1,1,1,2,7,3,24,577
1,1,33,12,1,1,1,1,1,7,6,4,594
3,1,27,2,3,1,1,1,1,7,3,1,17999
1,1,58,7,1,1,1,1,1,3,4,6,283
1,2,60,6,5,1,1,1,1,7,8,24,2441
2,1,1,26,2,1,3,1,3,10,2,24,5566
1,1,37,16,3,1,1,1,1,7,5,3,78
1,1,61,8,3,1,1,1,1,3,6,8,1554
3,2,10,27,3,1,1,1,2,3,2,24,877
1,1,39,2,1,1,1,1,1,4,6,2,18030
1,2,13,28,3,1,2,2,2,3,3,24,1255
1,1,15,21,3,1,1,1,2,7,3,1,2282
1,1,5,19,3,1,1,1,2,2,2,24,447
1,2,60,12,2,1,1,1,1,6,6,24,96
3,2,2,29,3,1,3,1,3,10,2,24,669
3,2,27,3,1,1,1,1,2,4,3,24,316
3,1,8,15,3,1,1,1,2,3,2,24,2196
1,1,29,8,2,3,1,1,2,4,5,2,1989
1,2,4,2,1,2,1,1,2,9,2,24,17791
1,2,16,4,3,1,1,1,2,7,3,24,222
1,2,47,7,1,1,1,1,2,12,7,24,424
1,2,10,8,1,1,1,1,2,3,2,24,1701
1,1,46,19,5,1,1,1,1,3,5,5,68
1,1,49,15,3,5,1,1,1,8,6,2,1794
1,1,10,7,8,7,1,1,2,3,2,24,453
1,2,80,21,1,1,1,1,1,7,6,24,2286
1,1,19,18,1,1,1,1,1,8,3,1,5549
1,2,76,14,1,1,1,1,1,3,6,24,670
1,2,17,12,3,1,1,1,2,8,3,24,470
1,2,42,11,3,1,2,2,1,9,6,24,17822
1,2,18,30,1,1,1,1,2,5,3,24,2778
1,1,29,20,2,1,1,1,1,4,7,2,1313
1,2,56,25,2,1,1,1,1,13,6,24,119
1,2,22,7,2,1,1,1,1,8,3,24,875
1,2,6,27,3,2,1,1,2,2,2,24,1315
1,1,7,13,3,1,1,1,2,2,2,24,2522
1,2,73,19,5,1,1,1,1,6,6,24,146
3,2,9,2,3,1,1,1,2,3,2,24,6016
1,1,13,12,3,1,1,1,2,3,3,1,6
3,2,18,2,1,1,1,1,2,7,3,24,5521
1,1,19,2,2,1,1,1,2,8,3,1,17760
1,2,49,14,1,2,1,1,1,7,7,24,1435
4,2,43,14,7,1,1,1,1,4,7,24,932
3,1,47,7,1,1,1,1,1,8,3,2,1089
1,2,15,31,2,1,1,1,2,7,3,24,5520
1,2,31,24,1,3,1,1,1,8,7,24,1618
1,1,32,2,1,1,1,1,1,3,3,1,5519
3,1,39,2,1,1,1,1,1,4,3,1,17759
1,1,7,7,5,1,1,1,2,2,2,24,640
3,1,5,7,1,1,1,1,2,2,2,24,985
3,2,30,26,1,1,1,1,1,5,1,24,5523
3,2,26,14,1,8,2,2,1,5,1,24,919
1,1,7,14,3,1,2,2,2,2,2,24,919
1,2,58,7,5,3,1,1,1,4,1,24,633
1,2,22,7,1,2,1,1,2,8,3,24,1011
1,1,44,16,3,1,1,1,1,3,1,7,93
3,1,43,2,2,3,1,1,1,3,1,1,5522
1,2,1,11,3,1,3,1,3,10,2,24,6044
1,1,1,7,1,8,3,1,3,10,2,24,438
1,2,24,4,2,1,1,1,1,7,3,24,520
1,2,12,31,2,1,1,1,2,3,2,24,17701
1,1,26,14,3,3,1,1,1,8,1,3,91
4,2,5,16,7,1,1,1,2,9,2,24,74
1,1,7,11,5,1,1,1,2,2,2,24,17700
3,2,16,7,3,1,1,1,2,7,3,24,1054
1,2,55,8,1,1,1,1,1,7,9,24,2284
1,2,33,9,2,1,1,1,1,3,3,24,850
6,2,26,2,3,1,1,1,1,3,3,24,6087
1,2,17,12,3,1,1,1,1,7,3,24,63
1,2,30,14,1,1,1,1,1,4,7,24,743
1,1,2,24,1,1,3,1,3,10,2,24,1990
1,1,6,4,3,1,1,1,2,2,2,24,286
1,2,36,4,3,1,1,1,1,7,1,24,124
3,1,43,2,2,1,1,1,1,3,9,3,3417
1,2,17,25,1,1,1,1,2,8,3,24,81
4,1,59,10,1,1,1,1,1,4,3,2,6086
1,1,34,25,3,1,1,1,1,7,1,4,131
1,1,20,19,1,1,1,1,2,8,3,1,706
3,2,31,9,3,1,1,1,2,4,1,24,1056
1,1,15,2,3,1,1,1,2,7,3,1,6085
4,1,51,7,7,1,1,1,1,4,8,2,301
3,2,53,7,1,2,1,1,1,7,1,24,302
1,2,79,16,5,1,1,1,1,9,4,24,42
1,2,37,7,1,1,1,1,1,7,6,24,228
1,2,19,2,3,1,1,1,2,8,3,24,6174
3,1,1,30,1,1,3,1,3,10,2,24,3411
3,2,11,14,3,2,1,1,2,3,2,24,1053
1,2,50,4,3,1,1,1,1,9,6,24,242
1,2,1,15,1,1,3,1,3,10,2,24,1992
3,2,11,2,9,1,1,1,2,3,2,24,17395
1,1,3,3,3,1,3,1,3,10,2,24,300
1,1,56,17,1,1,1,1,1,3,6,3,17394
3,1,15,22,3,1,1,1,2,7,3,1,804
1,1,15,20,10,1,1,1,2,7,3,1,1766
1,2,17,26,9,1,1,1,1,7,3,24,5402
3,1,18,2,2,3,1,1,2,8,3,1,3335
1,1,11,10,5,1,1,1,2,3,2,24,17393
3,1,17,2,1,1,1,1,2,7,3,1,3334
1,1,74,15,1,1,1,1,1,3,7,7,1721
1,1,61,17,2,1,1,1,1,3,5,4,6265
6,1,31,8,2,1,1,1,1,8,1,3,1651
1,2,29,8,2,1,1,1,1,8,6,24,2190
3,2,3,17,1,1,3,1,3,10,2,24,17213
7,2,45,16,3,1,1,1,1,2,9,24,160
1,2,24,1,1,3,1,1,1,7,3,24,6264
3,2,52,7,1,1,1,1,1,7,7,24,265
3,1,25,4,2,1,1,1,1,8,6,3,504
1,2,72,1,1,1,1,1,1,7,6,24,6263
3,2,23,10,3,1,1,1,1,8,3,24,17212
3,1,31,2,1,1,1,1,1,4,3,1,6262
1,2,39,2,2,1,1,1,1,7,1,24,6261
1,1,3,8,1,1,3,1,3,10,2,24,1506
1,2,35,24,1,2,1,1,1,4,7,24,1712
4,1,38,2,4,8,1,1,1,4,6,2,6260
1,1,78,2,1,1,1,1,1,3,5,3,5285
3,2,27,22,7,1,1,1,1,8,1,24,671
3,2,7,24,1,1,1,1,2,2,2,24,1911
1,2,4,2,2,1,1,1,2,9,2,24,17057
1,1,29,7,2,1,1,1,1,4,3,1,790
1,2,13,4,3,1,1,1,2,3,3,24,441
1,2,13,11,3,1,2,3,2,3,3,24,6354
1,2,20,2,1,1,1,1,2,11,3,24,6353
3,2,22,28,2,8,1,1,1,8,3,24,1294
4,1,18,32,2,8,1,1,2,8,3,1,17056
3,1,13,26,2,1,1,1,2,3,3,1,6352
1,2,1,2,1,1,3,1,3,10,2,24,6351
3,2,26,11,5,1,1,1,1,4,3,24,3650
1,1,11,2,10,1,1,1,2,3,2,24,5253
1,2,9,12,1,1,1,1,2,3,2,24,297
1,1,12,7,2,1,1,1,1,3,2,24,189
3,2,65,7,3,1,1,1,1,3,3,24,952
1,2,31,9,3,1,1,1,1,3,9,24,1296
1,2,28,6,1,1,1,1,1,8,7,24,2425
1,1,49,27,9,1,1,1,1,6,8,4,751
1,2,58,3,3,1,1,1,1,3,6,24,221
1,2,49,7,7,1,1,1,1,4,5,24,354
3,2,56,5,3,1,1,1,1,3,5,24,16990
3,2,15,25,1,2,1,1,2,7,3,24,9
1,1,67,24,5,1,1,1,1,4,9,5,1802
1,1,54,15,5,1,1,1,1,8,4,3,1804
1,1,32,16,3,9,1,1,1,4,6,2,3
3,1,28,28,3,1,2,2,1,3,7,2,853
1,2,8,7,1,1,1,1,2,3,2,24,358
4,2,2,4,1,1,3,1,3,10,2,24,677
1,1,28,2,1,1,1,1,1,4,3,1,3444
1,1,37,8,1,2,1,1,1,3,6,4,1591
1,2,12,24,1,1,1,1,2,3,2,24,1605
1,2,26,8,1,1,1,1,1,7,6,24,1671
3,2,25,2,7,1,1,1,1,8,7,24,3441
1,1,59,1,2,1,1,1,1,9,7,8,6403
1,1,3,4,1,1,3,1,3,10,2,24,834
4,2,36,7,1,1,1,1,1,7,6,24,140
1,1,81,4,3,1,1,1,1,3,5,8,588
1,1,63,28,5,1,1,1,1,3,4,3,1019
2,1,2,6,1,3,3,1,3,10,2,24,2941
1,1,9,7,2,1,1,1,2,3,2,24,589
1,2,38,19,3,1,2,2,1,3,9,24,405
1,1,70,17,3,1,1,1,1,9,1,1,6402
3,1,20,15,3,1,1,1,1,5,1,1,1729
1,2,26,1,7,1,1,1,1,4,3,24,6401
1,2,29,7,9,8,1,1,2,7,3,24,1017
1,2,36,6,1,1,1,1,1,8,1,24,2982
1,2,51,20,2,1,1,1,1,5,1,24,1337
1,1,56,2,1,1,1,1,1,3,5,6,6435
3,1,16,4,3,1,2,2,2,7,3,1,526
3,1,55,15,2,1,1,1,1,1,3,5,2099
1,1,71,10,1,1,1,1,1,3,4,3,6434
2,2,76,12,1,1,1,1,1,3,6,24,82
4,1,22,2,1,1,1,1,2,4,3,1,3454
3,2,56,16,2,1,2,3,1,3,7,24,107
1,1,6,24,1,1,1,1,2,2,2,24,1509
4,2,31,33,3,1,1,1,1,4,3,24,6433
1,1,58,16,3,10,2,3,1,9,4,4,522
1,2,40,11,1,1,1,1,1,3,3,24,3489
1,1,29,12,2,1,1,1,1,3,1,3,136
1,1,4,30,1,1,1,1,1,9,2,24,3501
1,1,3,8,1,1,3,1,3,10,2,24,1671
3,2,46,2,1,1,1,1,1,4,6,24,3500
1,2,12,14,8,1,1,1,2,3,2,24,1163
1,2,7,16,5,11,2,2,2,2,2,24,160
6,1,46,4,3,1,2,2,1,3,1,7,185
1,1,37,14,8,1,1,1,1,8,7,4,943
1,1,19,20,3,1,2,3,1,9,1,3,1524
3,1,48,2,1,1,1,1,1,7,6,2,6463
1,2,58,14,1,1,1,1,1,3,5,24,1065
3,1,56,2,3,1,1,1,1,3,1,6,3336
1,2,46,28,3,5,1,1,1,7,1,24,830
1,2,40,29,1,1,1,1,1,8,7,24,958
2,2,22,2,3,1,1,1,2,4,3,24,6462
1,2,19,2,3,1,1,1,1,8,3,24,6461
1,2,54,7,1,1,1,1,1,8,3,24,967
1,1,8,21,3,1,1,1,2,3,2,24,2188
4,2,41,8,1,1,1,1,1,4,6,24,2484
4,2,50,7,2,1,1,1,1,5,6,24,252
1,1,34,34,5,1,1,1,1,4,3,2,2637
1,1,13,4,2,1,1,1,1,3,3,1,411
1,2,19,8,1,2,1,1,2,8,3,24,2001
1,1,30,12,1,1,1,1,1,3,3,3,308
1,1,49,20,2,1,1,1,1,3,1,4,1284
1,2,49,2,2,3,1,1,1,8,1,24,4884
7,1,25,2,1,3,1,1,1,7,1,3,6548
1,2,2,1,3,1,3,1,3,10,2,24,16669
1,2,11,15,1,3,1,1,2,3,2,24,1820
2,1,29,19,3,1,1,1,1,4,3,1,537
1,2,14,31,2,1,1,1,2,7,3,24,16668
1,1,49,28,3,1,1,1,1,3,1,1,1158
1,2,1,13,1,3,3,1,3,10,2,24,2189
1,1,1,8,2,1,3,1,3,10,2,24,1754
1,2,42,27,1,1,1,1,1,4,1,24,1050
1,1,46,1,1,3,1,1,1,8,5,2,6547
