Unnamed: 0.1,Unnamed: 0,OCCP,RAC2P,ST,CIT,ESR,SCHL,MAR,SEX,PUMA,PUMA_FULL,DOB,DOB-Day-str,DOB-Month-str,DOB-Year-str,PUMA_og,DOB-Day,DOB-Month,DOB-Year,age,weight,DOB-str,DOB-dt
1487934,18082450,1,2,26,1,3,10,1,1,300,1628,29857,26,May,2012,2600300,13,4,83,13,36,26 May 2012,2012-05-26
1067288,44617994,8,1,24,1,1,12,2,1,400,1140,18758,5,January,1982,2400400,24,1,53,44,77,5 January 1982,1982-01-05
1878822,21593252,1,1,1,1,3,6,1,1,4405,919,31730,12,July,2017,104405,11,2,88,8,170,12 July 2017,2017-07-12
100042,33489971,66,2,6,1,1,20,5,1,4203,1554,17713,25,February,1979,604203,21,10,50,46,161,25 February 1979,1979-02-25
2754610,71666678,91,1,4,1,1,21,1,2,2207,574,25591,20,September,2000,402207,4,11,71,25,217,20 September 2000,2000-09-20
2548206,26689290,97,1,27,1,1,20,3,1,1310,1442,18252,17,August,1980,2701310,2,12,51,45,58,17 August 1980,1980-08-17
1618146,29085387,1,1,27,1,3,10,1,1,1307,1768,29959,5,September,2012,2701307,24,11,83,13,77,5 September 2012,2012-09-05
1413229,3001483,38,1,20,1,1,20,1,2,1300,21,26299,29,August,2002,1901300,29,12,73,23,192,29 August 2002,2002-08-29
2597365,7156221,70,1,16,1,1,21,2,2,121,103,14535,14,June,1970,1600121,22,8,41,55,83,14 June 1970,1970-06-14
1852625,69142921,1,1,2,1,3,9,1,1,4200,1011,30318,30,August,2013,204200,30,12,84,12,304,30 August 2013,2013-08-30
2641657,28677283,1,5,1,3,2,17,4,1,2402,948,3669,13,September,1940,102402,8,11,11,85,59,13 September 1940,1940-09-13
1622773,19422882,39,3,26,2,1,17,2,2,1901,1879,24058,10,July,1996,2601901,7,2,67,29,226,10 July 1996,1996-07-10
730190,46713783,1,5,8,1,3,3,1,1,3300,231,32994,27,December,2020,803300,17,3,91,5,131,27 December 2020,2020-12-27
1796472,46060365,1,1,1,1,3,1,1,2,5800,1899,34080,18,December,2023,105800,12,3,94,2,209,18 December 2023,2023-12-18
1269416,56388398,1,2,31,1,2,15,1,1,1500,438,28559,5,November,2008,3101500,24,9,79,17,65,5 November 2008,2008-11-05
2510260,35579490,1,3,1,1,3,5,1,2,5409,645,31818,8,October,2017,105409,10,5,88,8,110,8 October 2017,2017-10-08
826813,82886690,1,1,34,1,2,22,2,1,700,12,7336,28,September,1950,3300700,20,11,21,75,100,28 September 1950,1950-09-28
2508797,46134505,97,1,24,1,2,21,2,1,500,166,19945,6,April,1985,2400500,27,7,56,40,234,6 April 1985,1985-04-06
1847401,14913553,211,2,7,1,1,20,2,1,4503,2031,13729,30,March,1968,704503,30,6,39,57,206,30 March 1968,1968-03-30
1011330,15132884,1,1,33,1,3,8,1,1,1403,1976,31124,14,November,2015,3401403,22,9,86,10,257,14 November 2015,2015-11-14
1692150,86661714,1,1,9,1,3,8,1,1,1900,149,30883,18,March,2015,1001900,12,6,86,10,65,18 March 2015,2015-03-18
2291524,55646671,8,1,31,2,1,22,2,1,400,1007,25624,23,October,2000,3100400,28,5,71,25,81,23 October 2000,2000-10-23
2290798,43936871,13,2,8,1,1,20,1,1,3701,2061,27433,6,October,2005,803701,27,5,76,20,481,6 October 2005,2005-10-06
56010,12590418,1,1,30,1,2,18,1,1,1200,164,19473,21,December,1983,3001200,14,3,54,42,250,21 December 1983,1983-12-21
487432,53147548,1,1,21,1,3,5,1,2,800,214,32147,2,September,2018,2100800,5,11,89,7,67,2 September 2018,2018-09-02
2157602,17380247,1,1,7,1,3,5,1,2,605,880,31517,11,December,2016,700605,18,3,87,9,97,11 December 2016,2016-12-11
2381936,84678022,1,2,12,1,2,22,1,2,200,1155,26176,28,April,2002,1200200,20,7,73,23,139,28 April 2002,2002-04-28
2412776,33237869,211,2,14,1,4,17,1,2,1900,973,23012,29,August,1993,1401900,29,12,64,32,169,29 August 1993,1993-08-29
2529436,18510050,45,1,1,1,1,14,2,2,4700,671,18160,17,May,1980,104700,2,4,51,45,101,17 May 1980,1980-05-17
1762254,62218619,36,1,18,1,1,17,2,2,1200,199,15268,16,June,1972,1801200,23,8,43,53,102,16 June 1972,1972-06-16
289524,63323547,56,4,4,1,4,17,2,2,1901,117,24454,10,August,1997,401901,7,12,68,28,52,10 August 1997,1997-08-10
257271,20128241,13,1,26,1,1,17,3,1,1901,1879,24162,22,October,1996,2601901,9,5,67,29,77,22 October 1996,1996-10-22
2408627,82953371,1,2,3,1,2,12,1,2,1401,1202,27907,23,January,2007,301401,28,1,78,19,64,23 January 2007,2007-01-23
2810393,84410440,15,1,12,1,1,17,2,1,3400,812,16779,5,August,1976,1203400,24,12,47,49,100,5 August 1976,1976-08-05
2342407,48726641,1,1,46,1,2,19,2,1,300,1176,2706,24,January,1938,4600300,26,1,9,87,25,24 January 1938,1938-01-24
491949,41781395,1,1,8,1,3,12,1,2,1900,546,29617,29,September,2011,801900,29,11,82,14,130,29 September 2011,2011-09-29
2023906,23456361,36,1,1,1,1,21,2,1,4100,1098,17198,28,September,1977,104100,20,11,48,48,75,28 September 1977,1977-09-28
227142,58350943,9,1,29,2,1,21,3,1,2500,1638,14739,4,January,1971,2902500,15,1,42,55,122,4 January 1971,1971-01-04
1655547,74493707,147,1,11,1,1,22,1,1,1001,768,24755,7,June,1998,1101001,19,8,69,27,302,7 June 1998,1998-06-07
2658852,88600574,90,2,3,1,1,22,1,1,4011,1963,26389,27,November,2002,304011,17,9,73,23,142,27 November 2002,2002-11-27
10849,97022300,1,1,5,1,3,2,1,2,2800,1142,33611,5,September,2022,502800,24,11,93,3,327,5 September 2022,2022-09-05
812228,71341933,14,1,11,1,1,22,2,1,306,727,17692,4,February,1979,1100306,15,10,50,46,95,4 February 1979,1979-02-04
1470000,61727335,81,2,50,1,1,17,2,1,103,1044,15225,4,May,1972,5000103,15,4,43,53,131,4 May 1972,1972-05-04
1674276,32540124,4,1,19,1,2,22,3,1,1007,1593,7136,12,March,1950,2001007,11,6,21,75,84,12 March 1950,1950-03-12
2063791,22166089,10,1,25,1,1,19,1,2,2001,907,27276,2,May,2005,2502001,5,4,76,20,97,2 May 2005,2005-05-02
1567747,81713136,22,2,3,1,2,15,1,1,3707,1786,23422,13,October,1994,303707,8,5,65,31,62,13 October 1994,1994-10-13
