urban,age,marital_status,given_birth,dob,dom,age_mar,partner_age,ethnicity,language,birth_year,birth_month,birth_day,marriage_year,marriage_month,marriage_day
2,41,1,1,272,207.0,19,43.0,1,1.0,12,6,14.0,15.0,7.0,14.0
1,27,1,1,1124,746.0,23,35.0,1,1.0,30,5,6.0,11.0,3.0,21.0
1,48,1,1,433,377.0,31,28.0,1,1.0,3,10,16.0,21.0,1.0,21.0
1,41,3,1,271,99.0,30,,1,1.0,12,7,28.0,4.0,1.0,4.0
2,43,1,1,185,208.0,23,47.0,1,1.0,20,6,17.0,2.0,8.0,22.0
1,35,1,1,1489,1044.0,27,39.0,1,1.0,7,9,14.0,8.0,4.0,2.0
1,47,3,1,616,539.0,22,,1,1.0,3,3,23.0,27.0,5.0,20.0
1,49,1,1,430,374.0,21,51.0,1,1.0,6,7,4.0,29.0,10.0,29.0
1,49,2,2,126,,NIU,,1,1.0,6,4,24.0,,,
2,33,1,1,615,537.0,18,36.0,1,1.0,22,11,24.0,7.0,1.0,31.0
1,34,1,1,431,375.0,21,38.0,1,1.0,7,12,17.0,5.0,1.0,28.0
1,20,2,2,424,,NIU,,1,1.0,27,1,7.0,,,
1,31,1,1,125,743.0,27,30.0,1,1.0,10,9,23.0,11.0,3.0,24.0
2,30,1,1,1095,378.0,26,42.0,1,1.0,10,3,27.0,11.0,10.0,10.0
1,21,2,2,1094,,NIU,,1,1.0,23,12,22.0,,,
2,16,2,2,124,,NIU,,1,1.0,32,8,7.0,,,
2,27,1,1,1949,744.0,20,28.0,1,1.0,30,10,17.0,10.0,4.0,17.0
2,44,1,1,1126,1040.0,16,45.0,1,1.0,16,8,20.0,29.0,2.0,24.0
2,43,1,1,123,41.0,20,44.0,1,1.0,20,10,15.0,15.0,4.0,16.0
1,33,1,1,15,67.0,23,32.0,1,1.0,22,2,24.0,17.0,6.0,25.0
1,49,1,1,93,551.0,28,54.0,1,1.0,36,4,8.0,18.0,5.0,27.0
1,48,3,1,1125,1013.0,24,,1,1.0,3,1,28.0,14.0,3.0,19.0
1,46,1,1,611,296.0,31,55.0,1,1.0,4,8,28.0,7.0,6.0,4.0
1,19,1,1,612,294.0,13,21.0,5,3.0,28,6,2.0,10.0,2.0,20.0
2,36,1,1,270,536.0,27,42.0,1,1.0,13,4,4.0,4.0,3.0,14.0
2,24,2,2,1494,,NIU,,1,1.0,29,9,7.0,,,
1,23,2,2,1096,,NIU,,1,1.0,31,1,12.0,,,
2,16,2,2,1098,,NIU,,1,1.0,32,10,12.0,,,
2,49,1,1,427,541.0,23,57.0,1,1.0,6,1,23.0,19.0,12.0,20.0
2,27,1,1,2570,1012.0,23,35.0,1,1.0,30,5,13.0,11.0,8.0,10.0
1,20,1,2,613,295.0,18,24.0,2,1.0,27,6,26.0,25.0,5.0,10.0
1,42,3,1,8,6.0,20,,2,1.0,14,10,30.0,15.0,2.0,28.0
2,31,1,1,619,538.0,26,63.0,2,2.0,10,11,7.0,3.0,12.0,24.0
1,39,1,1,58,35.0,21,48.0,1,1.0,24,11,23.0,1.0,3.0,31.0
1,45,1,1,85,9.0,29,43.0,1,1.0,4,3,23.0,13.0,1.0,23.0
2,35,1,1,206,145.0,24,34.0,1,1.0,5,12,15.0,16.0,11.0,22.0
1,21,2,2,617,,NIU,,5,3.0,21,6,28.0,,,
1,33,1,1,1097,144.0,17,49.0,3,3.0,22,8,15.0,13.0,3.0,17.0
1,29,2,2,618,,NIU,,1,1.0,34,2,12.0,,,
1,20,2,2,1099,,NIU,,5,1.0,27,5,18.0,,,
1,24,2,2,143,,NIU,,1,1.0,17,2,25.0,,,
1,19,2,2,1127,,NIU,,2,1.0,28,6,29.0,,,
1,48,1,1,1108,540.0,26,51.0,1,1.0,3,9,30.0,15.0,3.0,25.0
2,44,1,1,432,373.0,18,49.0,1,1.0,11,3,21.0,19.0,5.0,16.0
1,47,1,1,614,428.0,23,51.0,1,1.0,8,4,27.0,24.0,6.0,20.0
2,46,1,1,37,675.0,27,53.0,2,1.0,4,11,21.0,1.0,4.0,22.0
1,45,1,1,85,9.0,29,43.0,1,1.0,4,3,23.0,13.0,1.0,23.0
1,26,2,2,1485,,NIU,,1,1.0,26,9,2.0,,,
2,43,3,1,1474,819.0,17,,2,2.0,20,1,30.0,19.0,3.0,29.0
1,37,2,2,2571,,NIU,,1,1.0,13,8,24.0,,,
1,46,1,1,852,638.0,20,48.0,1,1.0,8,4,29.0,19.0,6.0,14.0
2,43,1,1,132,639.0,25,40.0,4,1.0,20,5,11.0,1.0,7.0,11.0
1,36,1,1,1107,640.0,27,36.0,1,1.0,5,2,21.0,12.0,7.0,20.0
2,34,1,1,442,365.0,24,43.0,1,1.0,15,11,29.0,17.0,6.0,19.0
1,31,1,1,45,26.0,26,33.0,1,1.0,10,1,14.0,11.0,5.0,5.0
1,30,1,1,191,205.0,20,32.0,1,1.0,9,11,28.0,17.0,5.0,1.0
1,32,1,1,631,452.0,31,32.0,1,1.0,18,9,22.0,26.0,1.0,23.0
1,28,2,2,630,,NIU,,1,1.0,19,2,29.0,,,
2,39,1,1,1945,1450.0,26,39.0,1,1.0,24,6,2.0,5.0,2.0,18.0
1,32,1,1,187,101.0,24,39.0,1,1.0,18,11,26.0,8.0,7.0,14.0
1,47,3,1,59,366.0,18,,1,1.0,8,1,29.0,30.0,2.0,10.0
1,32,1,1,1483,367.0,15,36.0,1,1.0,18,1,24.0,13.0,4.0,9.0
2,45,2,2,429,,NIU,,1,1.0,4,9,3.0,,,
2,47,1,1,186,73.0,18,58.0,1,1.0,8,2,29.0,30.0,11.0,3.0
1,26,2,2,87,,NIU,,1,1.0,26,1,16.0,,,
1,29,1,2,420,153.0,21,34.0,1,1.0,34,5,23.0,12.0,7.0,29.0
2,43,1,1,132,382.0,27,41.0,1,1.0,20,5,11.0,13.0,12.0,6.0
2,18,2,2,1193,,NIU,,1,1.0,25,2,24.0,,,
2,46,1,1,38,77.0,23,50.0,1,1.0,4,6,6.0,24.0,6.0,24.0
1,35,1,1,1052,40.0,15,39.0,4,1.0,5,3,2.0,2.0,4.0,8.0
1,20,1,2,613,295.0,18,24.0,2,1.0,27,6,26.0,25.0,5.0,10.0
1,49,1,1,129,56.0,27,52.0,1,1.0,6,10,5.0,18.0,6.0,30.0
2,16,2,2,2572,,NIU,,1,1.0,32,10,29.0,,,
2,45,1,1,419,210.0,20,51.0,4,1.0,4,4,25.0,27.0,10.0,30.0
1,49,1,1,189,106.0,30,51.0,1,1.0,6,9,6.0,22.0,2.0,18.0
2,34,1,2,674,381.0,27,37.0,1,1.0,15,6,19.0,8.0,10.0,12.0
2,35,1,1,673,380.0,19,38.0,1,1.0,7,7,11.0,9.0,6.0,18.0
1,27,1,1,417,200.0,19,31.0,1,1.0,19,12,9.0,12.0,1.0,5.0
2,42,3,1,854,1609.0,28,,1,1.0,20,4,5.0,9.0,12.0,6.0
2,42,3,1,190,105.0,19,,1,1.0,14,1,31.0,24.0,10.0,18.0
2,43,1,1,67,78.0,16,43.0,1,1.0,16,3,18.0,23.0,8.0,31.0
2,26,1,1,853,739.0,22,31.0,1,1.0,26,11,28.0,6.0,6.0,13.0
2,18,2,2,441,,NIU,,1,1.0,25,3,18.0,,,
1,35,1,1,1270,1338.0,25,38.0,1,1.0,5,3,17.0,4.0,1.0,23.0
1,47,1,2,64,29.0,26,50.0,1,1.0,8,4,6.0,2.0,1.0,27.0
1,36,2,2,722,,NIU,,1,1.0,5,10,15.0,,,
1,28,3,1,2555,1033.0,24,,1,1.0,34,4,31.0,11.0,1.0,13.0
2,24,2,2,75,,NIU,,1,1.0,17,10,1.0,,,
2,39,1,1,1783,1259.0,26,42.0,1,1.0,2,4,16.0,5.0,5.0,16.0
1,26,2,2,256,,NIU,,1,1.0,26,8,6.0,,,
1,16,2,2,1271,,NIU,,1,1.0,32,9,5.0,,,
1,22,2,2,1784,,NIU,,1,1.0,23,4,6.0,,,
1,34,2,2,1272,,NIU,,1,1.0,15,5,28.0,,,
1,18,2,2,1785,,NIU,,1,1.0,25,2,17.0,,,
1,33,1,1,275,186.0,20,37.0,1,1.0,22,10,26.0,5.0,8.0,3.0
1,23,2,2,274,,NIU,,1,1.0,31,10,17.0,,,
1,31,1,1,2554,1694.0,20,33.0,1,1.0,10,4,20.0,4.0,6.0,2.0
2,15,2,2,608,,NIU,,1,1.0,35,8,19.0,,,
2,19,2,2,273,,NIU,,2,1.0,28,5,23.0,,,
2,44,1,1,432,373.0,18,49.0,1,1.0,11,3,21.0,19.0,5.0,16.0
1,45,1,1,1299,825.0,22,48.0,1,1.0,11,8,11.0,24.0,4.0,18.0
1,37,1,1,51,187.0,22,53.0,1,1.0,1,3,21.0,9.0,1.0,11.0
2,15,2,2,16,,NIU,,5,3.0,35,10,11.0,,,
2,25,2,2,1300,,NIU,,1,1.0,29,9,29.0,,,
1,49,1,1,551,343.0,22,47.0,1,1.0,6,8,5.0,23.0,5.0,10.0
1,35,1,1,1301,656.0,25,42.0,1,1.0,7,9,9.0,4.0,3.0,16.0
1,47,3,1,552,356.0,22,,1,1.0,8,7,24.0,27.0,8.0,21.0
1,48,1,1,553,345.0,31,60.0,1,1.0,3,2,27.0,13.0,7.0,6.0
2,20,2,2,762,,NIU,,1,1.0,27,8,24.0,,,
2,37,1,1,990,657.0,19,42.0,1,1.0,1,3,10.0,1.0,8.0,20.0
1,16,2,2,102,,NIU,,1,1.0,32,10,9.0,,,
1,20,1,2,726,443.0,19,25.0,1,1.0,27,10,7.0,26.0,9.0,28.0
2,27,1,1,2556,1693.0,20,28.0,1,1.0,30,7,13.0,8.0,12.0,24.0
2,37,1,1,292,442.0,27,37.0,1,1.0,13,7,14.0,4.0,3.0,6.0
1,26,3,1,723,344.0,20,,1,1.0,26,11,20.0,10.0,3.0,5.0
1,40,1,1,291,217.0,19,44.0,1,1.0,2,2,16.0,18.0,3.0,23.0
2,34,2,2,786,,NIU,,1,1.0,15,8,4.0,,,
1,47,1,1,109,826.0,15,50.0,5,1.0,3,4,15.0,33.0,1.0,23.0
1,39,1,1,2540,1759.0,10,49.0,3,,2,12,19.0,30.0,6.0,6.0
1,36,1,1,922,555.0,22,44.0,1,1.0,5,6,30.0,7.0,4.0,15.0
1,42,3,1,8,6.0,20,,2,1.0,14,10,30.0,15.0,2.0,28.0
1,38,1,2,103,45.0,25,37.0,1,1.0,1,8,5.0,5.0,10.0,9.0
2,35,1,1,24,513.0,26,38.0,1,1.0,7,8,15.0,17.0,9.0,16.0
2,35,1,1,537,321.0,16,41.0,1,1.0,7,5,13.0,22.0,2.0,1.0
2,37,1,1,344,191.0,22,50.0,4,1.0,13,11,28.0,9.0,2.0,16.0
2,30,1,1,921,921.0,26,29.0,1,1.0,9,7,10.0,11.0,12.0,21.0
2,21,2,2,920,,NIU,,1,1.0,21,9,15.0,,,
2,28,1,1,970,505.0,23,34.0,1,1.0,34,12,18.0,3.0,2.0,19.0
2,47,1,1,737,905.0,15,53.0,3,1.0,8,11,22.0,32.0,7.0,10.0
2,33,1,1,1749,906.0,25,36.0,3,,22,2,2.0,8.0,4.0,21.0
1,44,3,1,736,504.0,36,,1,1.0,11,4,21.0,12.0,2.0,11.0
1,32,2,2,735,,NIU,,1,1.0,22,3,30.0,,,
2,48,1,1,969,560.0,21,53.0,1,1.0,3,6,9.0,23.0,4.0,13.0
2,15,1,2,365,198.0,15,23.0,5,1.0,35,8,24.0,26.0,9.0,12.0
2,44,1,1,512,907.0,28,44.0,1,1.0,16,10,3.0,9.0,9.0,8.0
2,41,1,1,74,561.0,21,50.0,1,1.0,12,8,22.0,2.0,12.0,10.0
2,33,1,1,1415,1757.0,21,42.0,1,1.0,15,3,28.0,16.0,10.0,30.0
1,34,1,1,1586,1067.0,24,40.0,4,1.0,15,10,6.0,4.0,11.0,20.0
2,33,1,1,875,387.0,17,47.0,1,1.0,22,4,18.0,9.0,5.0,6.0
1,31,1,1,175,70.0,22,35.0,1,1.0,18,12,28.0,17.0,7.0,12.0
2,39,1,1,513,313.0,20,47.0,1,1.0,24,1,5.0,22.0,2.0,4.0
2,45,3,1,1587,1082.0,21,,1,1.0,11,5,11.0,14.0,4.0,18.0
1,40,1,1,208,114.0,23,41.0,1,1.0,12,3,22.0,1.0,11.0,5.0
1,31,2,2,520,,NIU,,1,1.0,10,7,12.0,,,
1,20,2,2,1099,,NIU,,5,1.0,27,5,18.0,,,
2,47,1,1,1691,1081.0,28,47.0,1,1.0,8,8,29.0,22.0,9.0,25.0
1,45,3,1,789,402.0,25,,1,1.0,11,1,26.0,2.0,12.0,8.0
1,47,3,1,552,356.0,22,,1,1.0,8,7,24.0,27.0,8.0,21.0
2,33,1,1,788,761.0,27,34.0,1,1.0,22,9,14.0,10.0,2.0,1.0
1,36,1,1,787,401.0,22,42.0,1,1.0,5,11,17.0,5.0,1.0,30.0
1,20,2,2,923,,NIU,,1,1.0,27,2,20.0,,,
1,41,1,1,488,335.0,26,41.0,1,1.0,12,2,7.0,7.0,4.0,3.0
2,33,1,1,1444,762.0,20,38.0,4,4.0,22,10,14.0,5.0,1.0,11.0
1,18,2,2,106,,NIU,,1,1.0,25,9,30.0,,,
1,44,3,1,809,400.0,23,,1,1.0,16,6,31.0,18.0,8.0,29.0
1,38,2,2,1445,,NIU,,1,1.0,1,11,2.0,,,
1,44,3,1,512,763.0,20,,1,1.0,16,10,3.0,14.0,11.0,27.0
2,45,2,2,429,,NIU,,1,1.0,4,9,3.0,,,
1,22,2,2,383,,NIU,,1,1.0,23,5,4.0,,,
2,43,1,1,1545,1080.0,19,53.0,1,1.0,20,1,13.0,14.0,2.0,5.0
1,22,2,2,154,,NIU,,1,1.0,23,4,13.0,,,
1,45,1,1,382,75.0,19,49.0,1,1.0,11,5,30.0,27.0,6.0,19.0
1,36,2,2,884,,NIU,,1,1.0,13,3,16.0,,,
1,24,2,2,1584,,NIU,,1,1.0,29,12,4.0,,,
1,17,2,2,367,,NIU,,1,1.0,33,1,25.0,,,
2,27,2,2,366,,NIU,,1,1.0,30,1,4.0,,,
1,47,2,2,109,,NIU,,1,1.0,3,4,15.0,,,
1,45,1,1,1585,1099.0,38,45.0,1,1.0,11,10,7.0,8.0,8.0,3.0
1,30,3,2,114,34.0,25,,1,1.0,9,7,11.0,3.0,3.0,29.0
1,30,2,2,158,,NIU,,1,1.0,9,1,28.0,,,
1,25,2,2,783,,NIU,,2,1.0,26,12,15.0,,,
1,38,1,1,945,542.0,28,38.0,1,1.0,1,11,25.0,17.0,1.0,23.0
1,26,1,2,782,532.0,25,27.0,2,2.0,26,7,25.0,28.0,3.0,25.0
1,19,1,2,781,531.0,19,25.0,1,1.0,27,12,18.0,26.0,7.0,26.0
1,43,1,1,944,543.0,23,46.0,1,1.0,20,7,12.0,2.0,5.0,5.0
2,36,1,1,400,169.0,16,37.0,1,1.0,5,6,18.0,2.0,5.0,28.0
2,30,1,1,1438,1016.0,20,44.0,1,1.0,9,9,28.0,4.0,12.0,17.0
1,20,2,2,469,,NIU,,1,1.0,27,10,29.0,,,
1,43,1,1,233,123.0,28,46.0,1,1.0,20,10,4.0,7.0,4.0,18.0
1,37,1,1,487,258.0,16,45.0,4,1.0,13,5,4.0,2.0,6.0,6.0
1,29,1,1,2525,1087.0,20,39.0,1,1.0,34,9,23.0,12.0,7.0,14.0
2,38,1,1,1543,1086.0,18,42.0,1,1.0,1,4,14.0,22.0,8.0,23.0
1,47,1,1,1544,1085.0,20,51.0,4,1.0,8,11,4.0,19.0,1.0,5.0
2,37,1,1,292,442.0,27,37.0,1,1.0,13,7,14.0,4.0,3.0,6.0
2,43,1,1,2524,530.0,28,42.0,1,1.0,20,11,20.0,9.0,3.0,7.0
2,24,2,2,810,,NIU,,1,1.0,17,11,14.0,,,
1,48,2,2,229,,NIU,,1,1.0,6,12,23.0,,,
1,35,2,2,750,,NIU,,1,1.0,5,3,9.0,,,
1,41,1,1,749,529.0,23,45.0,3,1.0,12,2,1.0,1.0,3.0,2.0
2,42,3,1,1631,1084.0,18,,3,,14,9,2.0,14.0,11.0,7.0
1,45,2,2,412,,NIU,,1,1.0,4,12,1.0,,,
1,44,1,1,2509,1865.0,36,44.0,1,1.0,16,1,3.0,8.0,6.0,10.0
2,42,1,1,1632,1864.0,24,44.0,1,1.0,14,8,22.0,1.0,9.0,24.0
1,47,1,1,1378,1005.0,30,46.0,1,1.0,8,2,6.0,13.0,6.0,28.0
1,28,1,1,2508,1841.0,18,32.0,5,3.0,19,2,26.0,4.0,2.0,10.0
1,20,2,2,2507,,NIU,,2,1.0,27,1,16.0,,,
1,43,1,1,122,1006.0,29,45.0,1,1.0,16,3,19.0,7.0,2.0,22.0
1,26,2,2,256,,NIU,,1,1.0,26,8,6.0,,,
2,16,2,2,1379,,NIU,,5,3.0,32,8,18.0,,,
1,41,1,1,784,412.0,18,44.0,1,1.0,12,7,19.0,24.0,10.0,25.0
2,19,2,2,946,,NIU,,1,1.0,28,1,27.0,,,
1,47,1,1,142,82.0,28,46.0,1,1.0,8,3,17.0,1.0,7.0,28.0
2,44,1,1,39,1117.0,15,53.0,1,1.0,11,4,9.0,30.0,7.0,19.0
1,30,1,1,1437,1007.0,26,34.0,1,1.0,10,12,30.0,11.0,3.0,31.0
2,22,2,2,1011,,NIU,,1,1.0,23,9,3.0,,,
1,41,1,1,395,179.0,27,40.0,1,1.0,12,2,6.0,7.0,12.0,30.0
2,37,1,1,715,411.0,20,44.0,3,,1,12,19.0,21.0,6.0,14.0
1,22,1,2,476,287.0,21,25.0,1,1.0,23,7,6.0,26.0,6.0,30.0
1,49,1,1,714,437.0,20,54.0,1,1.0,6,7,27.0,30.0,11.0,22.0
2,36,1,1,1713,1116.0,27,38.0,1,1.0,5,6,27.0,17.0,11.0,30.0
1,21,2,2,477,,NIU,,1,1.0,23,3,9.0,,,
1,39,1,1,26,28.0,26,38.0,1,,2,3,24.0,5.0,5.0,18.0
2,32,2,2,394,,NIU,,1,1.0,18,10,10.0,,,
1,32,3,1,138,81.0,24,,1,1.0,18,8,23.0,12.0,7.0,11.0
1,40,1,1,393,154.0,22,46.0,1,1.0,2,2,11.0,1.0,1.0,17.0
1,40,1,1,713,1774.0,17,54.0,1,1.0,2,5,25.0,24.0,8.0,23.0
1,33,1,1,1323,248.0,23,32.0,1,1.0,22,11,6.0,4.0,2.0,7.0
1,25,2,2,11,,NIU,,1,1.0,26,3,24.0,,,
1,32,1,2,1657,1182.0,32,33.0,1,1.0,18,8,12.0,26.0,1.0,21.0
1,31,1,1,1658,941.0,25,34.0,1,1.0,10,6,13.0,10.0,1.0,1.0
1,37,2,2,525,,NIU,,1,1.0,13,10,28.0,,,
2,37,1,1,107,37.0,25,37.0,1,1.0,13,2,27.0,16.0,2.0,19.0
1,37,2,2,223,,NIU,,1,1.0,13,10,4.0,,,
1,22,2,2,222,,NIU,,1,1.0,23,8,8.0,,,
2,22,2,2,526,,NIU,,1,1.0,23,9,21.0,,,
1,28,1,2,2489,1773.0,23,25.0,1,1.0,19,7,13.0,3.0,8.0,28.0
1,45,1,1,356,138.0,25,46.0,2,1.0,11,6,9.0,2.0,3.0,10.0
2,48,3,2,49,19.0,34,,1,1.0,3,5,22.0,5.0,9.0,26.0
1,44,1,1,1026,570.0,22,48.0,1,1.0,16,10,16.0,15.0,7.0,24.0
2,49,1,1,36,240.0,20,52.0,1,1.0,6,4,10.0,30.0,3.0,2.0
1,41,3,1,271,99.0,30,,1,1.0,12,7,28.0,4.0,1.0,4.0
2,48,1,1,346,1181.0,16,55.0,1,1.0,3,6,7.0,33.0,5.0,12.0
1,35,1,1,699,497.0,25,36.0,1,1.0,7,11,24.0,4.0,2.0,23.0
2,45,1,1,1292,942.0,17,50.0,1,1.0,11,5,6.0,29.0,4.0,7.0
2,38,3,1,728,496.0,23,,1,1.0,1,7,22.0,7.0,6.0,17.0
1,44,1,2,502,247.0,28,50.0,3,,16,1,25.0,9.0,1.0,22.0
2,31,1,1,718,485.0,30,58.0,1,1.0,10,2,17.0,28.0,8.0,26.0
1,24,2,2,143,,NIU,,1,1.0,17,2,25.0,,,
